path,top_dir,biz_category,code_kind,language,effective_loc
gui/llm_security_review.go,gui,Backend/Core,prod,Go,119
gui/llm_security_review_test.go,gui,Backend/Core,test,Go,221
gui/llm_stream.go,gui,Backend/Core,prod,Go,708
gui/local_mcp_client.go,gui,Backend/Core,prod,Go,273
gui/local_mcp_manager.go,gui,Backend/Core,prod,Go,136
gui/mac_compat_darwin.go,gui,Backend/Core,prod,Go,25
gui/mac_compat_other.go,gui,Backend/Core,prod,Go,3
gui/main.go,gui,Backend/Core,prod,Go,117
gui/mcp_auto_discovery.go,gui,Backend/Core,prod,Go,186
gui/mcp_auto_discovery_test.go,gui,Backend/Core,test,Go,91
gui/mdns_scanner.go,gui,Backend/Core,prod,Go,305
gui/mdns_scanner_test.go,gui,Backend/Core,test,Go,147
gui/memory_compressor.go,gui,Backend/Core,prod,Go,582
gui/memory_store.go,gui,Backend/Core,prod,Go,583
gui/orchestrator.go,gui,Backend/Core,prod,Go,201
gui/platform_darwin.go,gui,Backend/Core,prod,Go,494
gui/platform_linux.go,gui,Backend/Core,prod,Go,521
gui/platform_windows.go,gui,Backend/Core,prod,Go,1600
gui/policy_engine.go,gui,Backend/Core,prod,Go,231
gui/policy_engine_test.go,gui,Backend/Core,test,Go,191
gui/project_scanner.go,gui,Backend/Core,prod,Go,59
gui/project_scanner_test.go,gui,Backend/Core,test,Go,139
gui/provider_resolver.go,gui,Backend/Core,prod,Go,115
gui/provider_resolver_test.go,gui,Backend/Core,test,Go,258
gui/qqbot_gateway.go,gui,Backend/Core,prod,Go,383
gui/remote_activation.go,gui,Backend/Core,prod,Go,376
gui/remote_activation_test.go,gui,Backend/Core,test,Go,551
gui/remote_admin_other.go,gui,Backend/Core,prod,Go,15
gui/remote_admin_windows.go,gui,Backend/Core,prod,Go,40
gui/remote_claude_onboarding.go,gui,Backend/Core,prod,Go,38
gui/remote_claude_onboarding_test.go,gui,Backend/Core,test,Go,161
gui/remote_codex_types.go,gui,Backend/Core,prod,Go,162
gui/remote_codex_types_test.go,gui,Backend/Core,test,Go,176
gui/remote_defaults.go,gui,Backend/Core,prod,Go,2
gui/remote_diagnostics.go,gui,Backend/Core,prod,Go,234
gui/remote_diagnostics_test.go,gui,Backend/Core,test,Go,385
gui/remote_event_coalescer.go,gui,Backend/Core,prod,Go,103
gui/remote_event_coalescer_test.go,gui,Backend/Core,test,Go,118
gui/remote_event_extractor.go,gui,Backend/Core,prod,Go,248
gui/remote_event_extractor_test.go,gui,Backend/Core,test,Go,61
gui/remote_event_types.go,gui,Backend/Core,prod,Go,59
gui/remote_execution_codex.go,gui,Backend/Core,prod,Go,218
gui/remote_execution_helpers.go,gui,Backend/Core,prod,Go,122
gui/remote_execution_iflow.go,gui,Backend/Core,prod,Go,233
gui/remote_execution_kilo_stub.go,gui,Backend/Core,prod,Go,9
gui/remote_execution_local_pty.go,gui,Backend/Core,prod,Go,71
gui/remote_execution_opencode_stub.go,gui,Backend/Core,prod,Go,9
gui/remote_execution_sdk.go,gui,Backend/Core,prod,Go,417
gui/remote_execution_sdk_other.go,gui,Backend/Core,prod,Go,3
gui/remote_execution_sdk_test.go,gui,Backend/Core,test,Go,124
gui/remote_execution_sdk_windows.go,gui,Backend/Core,prod,Go,8
gui/remote_execution_strategy.go,gui,Backend/Core,prod,Go,13
